"arXiv_id","Nishino_Rating"
"cond-mat/9812409","0"
"cond-mat/9812374","0"
"cond-mat/9812372","1"
"cond-mat/9812353","1"
"cond-mat/9812349","0"
"cond-mat/9812326","0"
"cond-mat/9812296","0"
"cond-mat/9812261","0"
"cond-mat/9812252","0"
"cond-mat/9812191","0"
"cond-mat/9812187","0"
"cond-mat/9812174","0"
"cond-mat/9812144","0"
"cond-mat/9812117","1"
"cond-mat/9812056","0"
"cond-mat/9812001","1"
"cond-mat/9811286","0"
"cond-mat/9811280","0"
"cond-mat/9811170","1"
"cond-mat/9811084","0"
"cond-mat/9811043","0"
"cond-mat/9810259","0"
"cond-mat/9810241","0"
"cond-mat/9810239","1"
"cond-mat/9810174","1"
"cond-mat/9810093","1"
"cond-mat/9810075","-1"
"cond-mat/9810054","0"
"cond-mat/9810006","0"
"cond-mat/9809413","0"
"cond-mat/9809411","0"
"cond-mat/9809380","0"
"cond-mat/9809281","0"
"cond-mat/9809233","0"
"cond-mat/9809224","0"
"cond-mat/9809038","0"
"cond-mat/9809037","0"
"cond-mat/9809035","0"
"cond-mat/9809032","0"
"cond-mat/9808342","-1"
"cond-mat/9808301","0"
"cond-mat/9808293","-1"
"cond-mat/9808179","0"
"cond-mat/9808118","1"
"cond-mat/9808020","0"
"cond-mat/9807270","0"
"cond-mat/9807265","0"
"cond-mat/9807266","0"
"cond-mat/9807060","0"
"cond-mat/9807033","-1"
"cond-mat/9806344","0"
"cond-mat/9806280","0"
"cond-mat/9806251","0"
"cond-mat/9806111","0"
"cond-mat/9805386","0"
"cond-mat/9805376","0"
"cond-mat/9805245","0"
"cond-mat/9805123","0"
"cond-mat/9805116","0"
"cond-mat/9805083","0"
"cond-mat/9805075","0"
"cond-mat/9805020","0"
"cond-mat/9804314","0"
"cond-mat/9804309","0"
"cond-mat/9804261","0"
"cond-mat/9804242","0"
"cond-mat/9804231","0"
"cond-mat/9804182","0"
"cond-mat/9804134","0"
"cond-mat/9804053","0"
"cond-mat/9803314","0"
"cond-mat/9803245","0"
"cond-mat/9803222","0"
"cond-mat/9803193","0"
"cond-mat/9803159","0"
"cond-mat/9803150","0"
"cond-mat/9803084","0"
"cond-mat/9803071","0"
"cond-mat/9802258","0"
"cond-mat/9802245","0"
"cond-mat/9802235","0"
"cond-mat/9802216","0"
"cond-mat/9802215","0"
"cond-mat/9802189","0"
"cond-mat/9802175","0"
"cond-mat/9802163","0"
"cond-mat/9802150","1"
"cond-mat/9802053","0"
"cond-mat/9802031","0"
"cond-mat/9801274","0"
"cond-mat/9801242","0"
"cond-mat/9801228","1"
"cond-mat/9801205","0"
"cond-mat/9801056","0"
"cond-mat/9912482","0"
"cond-mat/9912449","0"
"cond-mat/9912385","0"
"cond-mat/9912352","0"
"cond-mat/9912348","1"
"cond-mat/9912347","0"
"cond-mat/9912273","0"
"cond-mat/9912236","0"
"cond-mat/9912227","0"
"cond-mat/9912131","0"
"cond-mat/9912114","0"
"cond-mat/9911424","0"
"cond-mat/9911361","0"
"cond-mat/9911290","0"
"cond-mat/9911281","0"
"cond-mat/9911155","0"
"cond-mat/9911058","-1"
"cond-mat/9911047","-1"
"cond-mat/9911021","-1"
"cond-mat/9910511","0"
"cond-mat/9910512","0"
"cond-mat/9910490","0"
"cond-mat/9910438","0"
"cond-mat/9910356","0"
"cond-mat/9910338","0"
"cond-mat/9910318","0"
"cond-mat/9910180","0"
"cond-mat/9910159","0"
"cond-mat/9910109","0"
"cond-mat/9910082","1"
"cond-mat/9910054","0"
"cond-mat/9909388","0"
"cond-mat/9909375","0"
"cond-mat/9909140","0"
"cond-mat/9909097","1"
"cond-mat/9909015","0"
"cond-mat/9909003","0"
"cond-mat/9908414","0"
"cond-mat/9908407","0"
"cond-mat/9908347","0"
"cond-mat/9908237","0"
"cond-mat/9908200","0"
"cond-mat/9908180","0"
"cond-mat/9908066","0"
"cond-mat/9908062","0"
"cond-mat/9908044","0"
"cond-mat/9908017","0"
"cond-mat/9907420","0"
"cond-mat/9907416","1"
"cond-mat/9907375","0"
"cond-mat/9907301","0"
"cond-mat/9907256","0"
"cond-mat/9907243","0"
"cond-mat/9907117","0"
"cond-mat/9907115","0"
"cond-mat/9906399","0"
"cond-mat/9906273","0"
"cond-mat/9906224","1"
"cond-mat/9906166","0"
"cond-mat/9906101","0"
"cond-mat/9906059","0"
"cond-mat/9906019","0"
"cond-mat/9905352","0"
"cond-mat/9905229","0"
"cond-mat/9905211","0"
"cond-mat/9905017","0"
"cond-mat/9904371","0"
"cond-mat/9904286","0"
"cond-mat/9904260","0"
"cond-mat/9904155","0"
"cond-mat/9904109","0"
"cond-mat/9904035","0"
"cond-mat/9903448","0"
"cond-mat/9903434","0"
"cond-mat/9903332","1"
"cond-mat/9903331","0"
"cond-mat/9903213","0"
"cond-mat/9903188","0"
"cond-mat/9903161","-1"
"cond-mat/9903149","0"
"cond-mat/9903121","0"
"cond-mat/9903100","0"
"cond-mat/9903035","0"
"cond-mat/9903014","0"
"cond-mat/9902311","0"
"cond-mat/9902279","0"
"cond-mat/9902272","0"
"cond-mat/9902182","0"
"cond-mat/9902107","0"
"cond-mat/9902062","0"
"cond-mat/9902041","0"
"cond-mat/9901314","1"
"cond-mat/9901309","0"
"cond-mat/9901155","1"
"cond-mat/9901126","0"
